Unnamed: 0,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Source,Acetyl,acetic,fenton,formic,malic,none,oxalic,phosphoric,sulfuric,acacia,aspen,basswood,beech,birch,carob,eucalyptus,maple,meranti,mixed,oak,olive,paulownia,poplar,vine,willow,Yield
1887,120,453.15,4,0.611751751,3,120,0,0,12.95,27206.75471,10.21122056,2534.133575,7.837607072,4132.169088,8.326557751,autohydrolysis_pretreatment_of_mixed_hardwoods_to_extract_value_prior_to_combustion.xlsx,3.439166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,19.61389961
1918,60,443.15,4,0.611751751,3,60,0,0,12.95,6905.733407,8.840107274,597.1804559,6.392219339,925.9542035,6.830824777,autohydrolysis_pretreatment_of_mixed_hardwoods_to_extract_value_prior_to_combustion.xlsx,3.439166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,56.06177606
49,15,366.0439898,4,0,3,0,15,3.09376802,19.9,0,0,0,0,0,0,BalancingTheEffectOfPretreatmentSeverityOnHemicelluloseExtractionAndPulpingPerformanceDuringAutohydrolysis.xlsx,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.20221898
811,22,375.2775227,4,0,3,0,22,1.319076133,19.9,0,0,0,0,0,0,BalancingTheEffectOfPretreatmentSeverityOnHemicelluloseExtractionAndPulpingPerformanceDuringAutohydrolysis.xlsx,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.38397007
907,73,443.15,4,0,3,19,54,2.407037776,19.9,2186.815579,7.690201691,189.1071444,5.242313756,293.2188311,5.680919194,BalancingTheEffectOfPretreatmentSeverityOnHemicelluloseExtractionAndPulpingPerformanceDuringAutohydrolysis.xlsx,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4951362
971,52,439.6046463,4,0,3,0,52,2.56684409,19.9,0,0,0,0,0,0,BalancingTheEffectOfPretreatmentSeverityOnHemicelluloseExtractionAndPulpingPerformanceDuringAutohydrolysis.xlsx,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.64514882
1052,32,385.1537702,4,0,3,0,32,0.98762475,19.9,0,0,0,0,0,0,BalancingTheEffectOfPretreatmentSeverityOnHemicelluloseExtractionAndPulpingPerformanceDuringAutohydrolysis.xlsx,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.46306549
1176,0,313.1699601,4,0,3,0,0,0,19.9,0,0,0,0,0,0,BalancingTheEffectOfPretreatmentSeverityOnHemicelluloseExtractionAndPulpingPerformanceDuringAutohydrolysis.xlsx,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.349404364
1198,92,443.15,4,0,3,38,54,2.407037776,19.9,4373.631158,8.383348872,378.2142887,5.935460936,586.4376622,6.374066375,BalancingTheEffectOfPretreatmentSeverityOnHemicelluloseExtractionAndPulpingPerformanceDuringAutohydrolysis.xlsx,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.49825095
1431,42,413.9362054,4,0,3,0,42,2.878243513,19.9,0,0,0,0,0,0,BalancingTheEffectOfPretreatmentSeverityOnHemicelluloseExtractionAndPulpingPerformanceDuringAutohydrolysis.xlsx,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.79321273
1730,5,332.9502883,4,0,3,0,5,3.956065646,19.9,0,0,0,0,0,0,BalancingTheEffectOfPretreatmentSeverityOnHemicelluloseExtractionAndPulpingPerformanceDuringAutohydrolysis.xlsx,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.099540934
1877,10,350.5751497,4,0,3,0,10,3.524972278,19.9,0,0,0,0,0,0,BalancingTheEffectOfPretreatmentSeverityOnHemicelluloseExtractionAndPulpingPerformanceDuringAutohydrolysis.xlsx,2.879853118,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.64598261
43,45.45454545,473.15,8,0,8,0,45.45454545,3.3,19.886,0,0,0,0,0,0,Bioethanol_production_from_hydrothermally_pretreated_Eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66.98179624
324,46.96969697,478.15,8,0,8,0,46.96969697,3.3,19.886,0,0,0,0,0,0,Bioethanol_production_from_hydrothermally_pretreated_Eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,66.7806497
412,57.57575758,513.15,8,0,8,0,57.57575758,3.3,19.886,0,0,0,0,0,0,Bioethanol_production_from_hydrothermally_pretreated_Eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.129236649
1018,60.60606061,523.15,8,0,8,0,60.60606061,3.3,19.886,0,0,0,0,0,0,Bioethanol_production_from_hydrothermally_pretreated_Eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.635019612
1058,54.54545455,503.15,8,0,8,0,54.54545455,3.3,19.886,0,0,0,0,0,0,Bioethanol_production_from_hydrothermally_pretreated_Eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24.27034094
1159,0,468.15,8,0,8,0,0,3.3,19.886,0,0,0,0,0,0,Bioethanol_production_from_hydrothermally_pretreated_Eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1187,51.51515152,493.15,8,0,8,0,51.51515152,3.3,19.886,0,0,0,0,0,0,Bioethanol_production_from_hydrothermally_pretreated_Eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35.32133159
1589,43.93939394,468.15,8,0,8,0,43.93939394,3.3,19.886,0,0,0,0,0,0,Bioethanol_production_from_hydrothermally_pretreated_Eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65.13124811
1792,48.48484848,483.15,8,0,8,0,48.48484848,3.3,19.886,0,0,0,0,0,0,Bioethanol_production_from_hydrothermally_pretreated_Eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,73.09665091
494,50,443.15,4,0.2,0.509,50,0,0,18.84090909,5754.777839,8.657785717,497.6503799,6.209897782,771.6285029,6.64850322,BioethanolProductionFromOxalicAcidPretreatedBiomassAndHemicellulose-richHydrolysates.xlsx,3.439166667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,76.02605549
535,50,443.15,4,0.2,0.509,50,0,0,17.92045455,5754.777839,8.657785717,497.6503799,6.209897782,771.6285029,6.64850322,BioethanolProductionFromOxalicAcidPretreatedBiomassAndHemicellulose-richHydrolysates.xlsx,3.439166667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78.97121116
55,90,413.15,10,0,4,60,30,3.833333333,11.932,903.4393401,6.806208969,50.24988963,3.91700835,66.01983466,4.189955222,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.771371103
72,150,413.15,10,0,4,120,30,3.833333333,11.932,1806.87868,7.49935615,100.4997793,4.610155531,132.0396693,4.883102403,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.01307409
155,190,433.15,10,0,4,150,40,3.375,11.932,8764.212122,9.078431904,679.6215016,6.521536028,999.7163773,6.907471616,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,77.18739524
173,180,413.15,8,0,4,150,30,3.833333333,11.932,2258.59835,7.722499701,125.6247241,4.833299082,165.0495867,5.106245954,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26.01407979
234,160,433.15,8,0,4,120,40,3.375,11.932,7011.369698,8.855288353,543.6972013,6.298392477,799.7731019,6.684328065,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60.61012404
374,150,413.15,6,0,4,120,30,3.833333333,11.932,1806.87868,7.49935615,100.4997793,4.610155531,132.0396693,4.883102403,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13.52665102
393,100,433.15,6,0,4,60,40,3.375,11.932,3505.684849,8.162141172,271.8486007,5.605245296,399.8865509,5.991180884,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,65.16929266
642,0,413.15,6,0,4,0,0,0,11.932,0,0,0,0,0,0,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
744,90,413.15,8,0,4,60,30,3.833333333,11.932,903.4393401,6.806208969,50.24988963,3.91700835,66.01983466,4.189955222,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.620516259
806,160,433.15,10,0,4,120,40,3.375,11.932,7011.369698,8.855288353,543.6972013,6.298392477,799.7731019,6.684328065,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64.36473349
809,90,413.15,6,0,4,60,30,3.833333333,11.932,903.4393401,6.806208969,50.24988963,3.91700835,66.01983466,4.189955222,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3.318806571
842,180,413.15,6,0,4,150,30,3.833333333,11.932,2258.59835,7.722499701,125.6247241,4.833299082,165.0495867,5.106245954,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.05900101
909,160,433.15,6,0,4,120,40,3.375,11.932,7011.369698,8.855288353,543.6972013,6.298392477,799.7731019,6.684328065,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64.91786792
927,180,413.15,10,0,4,150,30,3.833333333,11.932,2258.59835,7.722499701,125.6247241,4.833299082,165.0495867,5.106245954,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,26.9024472
955,100,433.15,10,0,4,60,40,3.375,11.932,3505.684849,8.162141172,271.8486007,5.605245296,399.8865509,5.991180884,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,53.05062018
1020,100,433.15,8,0,4,60,40,3.375,11.932,3505.684849,8.162141172,271.8486007,5.605245296,399.8865509,5.991180884,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,54.44183708
1569,150,413.15,8,0,4,120,30,3.833333333,11.932,1806.87868,7.49935615,100.4997793,4.610155531,132.0396693,4.883102403,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17.02983574
1747,190,433.15,6,0,4,150,40,3.375,11.932,8764.212122,9.078431904,679.6215016,6.521536028,999.7163773,6.907471616,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,64.31444854
1947,190,433.15,8,0,4,150,40,3.375,11.932,8764.212122,9.078431904,679.6215016,6.521536028,999.7163773,6.907471616,combined_autohydrolysis_and_alkali_pretreatments_for_cellulose_enzymatic_hydrolysis_of_eucalyptus_grandis_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75.02514247
111,132.4,403.15,5,0.405231539,4,132.4,0,0,16.375,1012.042605,6.919725949,44.77091615,3.801558736,55.35723024,4.013807278,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68.73282443
208,90,403.15,5,0.405231539,4,90,0,0,16.375,687.9443688,6.533707975,30.43340222,3.415540762,37.62953717,3.627789305,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68.97709924
289,90,403.15,5,0.405231539,4,90,0,0,16.375,687.9443688,6.533707975,30.43340222,3.415540762,37.62953717,3.627789305,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69.83206107
310,90,403.15,5,0.119543304,4,90,0,0,16.375,687.9443688,6.533707975,30.43340222,3.415540762,37.62953717,3.627789305,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,50.38167939
401,120,403.15,5,0.607847309,4,120,0,0,16.375,917.2591584,6.821390048,40.57786962,3.703222835,50.17271623,3.915471378,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,63.90839695
423,90,403.15,5,0.690919774,4,90,0,0,16.375,687.9443688,6.533707975,30.43340222,3.415540762,37.62953717,3.627789305,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,63.14503817
732,90,403.15,5,0.405231539,4,90,0,0,16.375,687.9443688,6.533707975,30.43340222,3.415540762,37.62953717,3.627789305,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70.6870229
940,120,403.15,5,0.20261577,4,120,0,0,16.375,917.2591584,6.821390048,40.57786962,3.703222835,50.17271623,3.915471378,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,65.22137405
1105,47.6,403.15,5,0.405231539,4,47.6,0,0,16.375,363.8461329,5.896731066,16.09588828,2.778563853,19.9018441,2.990812396,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,67.45038168
1271,90,403.15,5,0.405231539,4,90,0,0,16.375,687.9443688,6.533707975,30.43340222,3.415540762,37.62953717,3.627789305,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,69.67938931
1444,60,403.15,5,0.607847309,4,60,0,0,16.375,458.6295792,6.128242867,20.28893481,3.010075654,25.08635811,3.222324197,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70.19847328
1586,90,403.15,5,0.405231539,4,90,0,0,16.375,687.9443688,6.533707975,30.43340222,3.415540762,37.62953717,3.627789305,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68.70229008
1965,60,403.15,5,0.20261577,4,60,0,0,16.375,458.6295792,6.128242867,20.28893481,3.010075654,25.08635811,3.222324197,CombinedAcidalkaline-peroxidePretreatmentOfOliveTreeBiomassForBioethanolProduction.xlsx,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57.92366412
101,95,393.15,5,0.2,3,65,30,3.166666667,16.93181818,252.2244771,5.530319473,8.474392247,2.137048939,9.830711955,2.285511358,comparative_evaluation_of_autohydrolysis_and_aci_catalyzed_hydrolysis_of_eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,52.56375839
123,135,413.15,5,0.15,3,105,30,3.833333333,16.93181818,1581.018845,7.365824757,87.93730685,4.476624138,115.5347107,4.74957101,comparative_evaluation_of_autohydrolysis_and_aci_catalyzed_hydrolysis_of_eucalyptus_globulus_wood.xlsx,2.128411429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15.3557047
191,90,443.15,5,0,3,60,30,4.833333333,16.93181818,6905.733407,8.840107274,597.1804559,6.392219339,925.9542035,6.830824777,comparative_evaluation_of_autohydrolysis_and_aci_catalyzed_hydrolysis_of_eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67.91946309
202,143,423.15,5,0,3,113,30,4.166666667,16.93181818,3351.684476,8.117218327,224.5545193,5.414118525,312.5907559,5.744894846,comparative_evaluation_of_autohydrolysis_and_aci_catalyzed_hydrolysis_of_eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47.24832215
252,85,443.15,5,0.15,3,55,30,4.833333333,16.93181818,6330.255623,8.753095897,547.4154179,6.305207962,848.7913532,6.7438134,comparative_evaluation_of_autohydrolysis_and_aci_catalyzed_hydrolysis_of_eucalyptus_globulus_wood.xlsx,2.128411429,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67.91946309
273,99,433.15,5,0.2,3,69,30,4.5,16.93181818,4031.537576,8.301903115,312.6258908,5.745007238,459.8695336,6.130942827,comparative_evaluation_of_autohydrolysis_and_aci_catalyzed_hydrolysis_of_eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,77.36912752
311,74,413.15,5,0.02,3,44,30,3.833333333,16.93181818,662.5221828,6.496054041,36.84991906,3.606853422,48.41454542,3.879800294,comparative_evaluation_of_autohydrolysis_and_aci_catalyzed_hydrolysis_of_eucalyptus_globulus_wood.xlsx,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.362416107
